127.0.0.1 - - [29/May/2019:18:44:34 -0300] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [29/May/2019:18:44:47 -0300] "GET /jpetstore/account HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [29/May/2019:18:44:48 -0300] "GET /jpetstore/lista_parceiros.html HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [29/May/2019:18:44:48 -0300] "GET /favicon.ico HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:10 -0300] "GET /jpetstore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:10 -0300] "GET /jpetstore/ HTTP/1.1" 200 1155
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:10 -0300] "GET /jpetstore/css/jpetstore.css HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:10 -0300] "GET /jpetstore/lista_parceiros.html HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/actions/Catalog.action HTTP/1.1" 200 5259
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/logo-topbar.gif HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/cart.gif HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/separator.gif HTTP/1.1" 200 46
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/sm_fish.gif HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/sm_reptiles.gif HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/fish_icon.gif HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/sm_cats.gif HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/sm_birds.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/dogs_icon.gif HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/cats_icon.gif HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/sm_dogs.gif HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/birds_icon.gif HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/reptiles_icon.gif HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/images/splash.gif HTTP/1.1" 200 36097
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:14 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:38 -0300] "GET /jpetstore/actions/Account.action;jsessionid=B70528BFC898D56251806B535AA66C80?signonForm= HTTP/1.1" 200 3736
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:39 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:49 -0300] "POST /jpetstore/actions/Account.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:49 -0300] "GET /jpetstore/actions/Catalog.action HTTP/1.1" 200 4880
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:49 -0300] "GET /jpetstore/images/banner_cats.gif HTTP/1.1" 200 6674
0:0:0:0:0:0:0:1 - - [29/May/2019:18:45:50 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
