127.0.0.1 - - [09/Jun/2019:22:35:12 -0300] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:15 -0300] "GET /jpetstore/actions/Catalog.action HTTP/1.1" 200 5259
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/css/jpetstore.css HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/logo-topbar.gif HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/sm_fish.gif HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/sm_dogs.gif HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/sm_reptiles.gif HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/sm_cats.gif HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/sm_birds.gif HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/fish_icon.gif HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/dogs_icon.gif HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/cats_icon.gif HTTP/1.1" 200 408
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/reptiles_icon.gif HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/birds_icon.gif HTTP/1.1" 200 471
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:16 -0300] "GET /jpetstore/images/splash.gif HTTP/1.1" 200 36097
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:17 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:17 -0300] "GET /favicon.ico HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:18 -0300] "GET /jpetstore/actions/Catalog.action;jsessionid=816FA50310DDF015E3E9C4065AADA0AE HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:19 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:23 -0300] "GET /jpetstore/actions/Catalog.action?viewCategory=&categoryId=FISH HTTP/1.1" 200 3597
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:23 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:25 -0300] "GET /jpetstore/actions/Catalog.action?viewProduct=&productId=FI-SW-01 HTTP/1.1" 200 3775
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:26 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:27 -0300] "GET /jpetstore/actions/Catalog.action HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:27 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:31 -0300] "GET /jpetstore/actions/Cart.action?viewCart= HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:31 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:32 -0300] "POST /jpetstore/actions/Cart.action HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:33 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:35 -0300] "GET /jpetstore/actions/Catalog.action HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:35 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:37 -0300] "GET /jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:37 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:42 -0300] "GET /jpetstore/actions/Catalog.action?viewProduct=&productId=RP-SN-01 HTTP/1.1" 200 3804
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:42 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:43 -0300] "GET /jpetstore/actions/Cart.action?addItemToCart=&workingItemId=EST-11 HTTP/1.1" 200 4336
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:44 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:46 -0300] "GET /jpetstore/actions/Order.action?newOrderForm= HTTP/1.1" 500 7325
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:35:46 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:36:23 -0300] "GET /jpetstore/actions/Order.action?newOrderForm= HTTP/1.1" 500 7325
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:36:23 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:32 -0300] "GET /jpetstore/actions/Cart.action?removeItemFromCart=&cartItem=EST-11 HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:33 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:34 -0300] "POST /jpetstore/actions/Cart.action HTTP/1.1" 200 3879
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:34 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:35 -0300] "GET /jpetstore/actions/Catalog.action HTTP/1.1" 200 4643
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:35 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:37 -0300] "GET /jpetstore/actions/Catalog.action?viewCategory=&categoryId=REPTILES HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:37 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:38 -0300] "GET /jpetstore/actions/Catalog.action?viewProduct=&productId=RP-LI-02 HTTP/1.1" 200 3478
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:38 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:41 -0300] "GET /jpetstore/actions/Cart.action?addItemToCart=&workingItemId=EST-13 HTTP/1.1" 200 4333
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:37:41 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:38:11 -0300] "GET /jpetstore/actions/Order.action?newOrderForm= HTTP/1.1" 500 7325
0:0:0:0:0:0:0:1 - - [09/Jun/2019:22:38:11 -0300] "GET /jpetstore/actions/lista_parceiros.html HTTP/1.1" 404 1132
